brand,description,rating,reviews,sort,data_coleta,old,new
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,4.6,188,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,26.3
NEW BALANCE,Tênis New Balance Evoz V3 Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,699.9,489.93
PUMA,Tênis Puma Skyrocket Lite Masculino Academia Pro Corrida Run,4.9,152,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,499.99,349.99
PUMA,Tênis De Corrida Puma Flyer Runner Mesh Bdp Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.9,245.12
OLYMPIKUS,Olympikus Aquarios Masculino Adultos,4.8,928,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,249.99,123.99
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,4.5,3367,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,71.01
FILA,Tênis Fila Ride Masculino Original ,5.0,2,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
OLYMPIKUS,Tênis Olympikus Masculino Cyber 4 Confortável Macio Leve ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,269.99,194.58
,Tênis Masculino Tamanho Especial Revior Original,4.6,60,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,139.9,109.12
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,4.4,476,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,149.9,114.71
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,4.6,1563,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,169.9,152.91
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,4.4,5,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,39.9,35.91
,Tênis Esportivo On Shoes Masculino/feminino ,4.7,4654,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,77.8,60.8
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,4.4,2855,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.97,75.02
LORENZZO LOPEZ,Kit 3 Tênis Masculino Para Academia E Corrida ,4.8,4,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,199.9,139.93
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,666.56,66.66
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Way 3 Treino ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,459.9,326.52
,"Tenis New Luxxor Masculino Academia Caminhada Corrida,",4.2,2506,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,54.9,46.66
FILA,Tênis Fila Ride Masculino / Feminino - Original ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,227.43
PUMA,Tênis Puma Masculino Viz Runner V2 Bdp Corrida Treino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,589.9,501.41
,Tênis Esporte Masculino Pronta Entrega Barato,4.4,1295,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,66.9,61.54
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,4.8,329,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,229.9,172.42
ASICS,Asics Gel-Rebound Masculino Adultos,4.5,13,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,399.1,359.91
OLYMPIKUS,Tênis Olympikus Masculino Voa 2 - Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,299.99,33.33
NEW BALANCE,Tênis New Balance Fresh Foam Garoé Preto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,759.9,75.99
,Tenis Olimp Masculino Academia Mega Fast Corrida Confortavel,4.2,311,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,119.9,88.35
PUMA,Puma Cell Divide V2 BDP Masculino Adultos,4.7,69,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,499.9,348.99
FILA,Tênis Fila Masculino Esportivo Extra Treino Confortável,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,319.9,275.11
OUSY SHOES,Kit 3 Tênis Caminhada Training Leve Masculino ,4.5,756,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,229.9,167.82
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,4.2,552,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,139.9,132.9
T-SHOES,Tênis Extremecross Speed Trekking Trilha Ciclismo Corrida,4.5,215,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,174.49,151.8
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,4.5,1848,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,69.9
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,4.4,1509,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,188.9,31.48
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,4.5,847,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,78.9,71.01
OLYMPIKUS,Tênis Olimpikus Olympikus Flash Confortavel Envio Imediato ,4.3,170,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,95.99,9.33
MIZUNO,Tênis Mizuno Goya Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,349.9,290.41
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,4.4,612,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,219.9,31.41
FILA,Tênis Running Masculino Recovery Fila Original Prata,5.0,4,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,379.99,334.39
NEW BALANCE,Tênis New Balance Fresh Foam Arishi V4 Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,499.9,389.5
FILA,Tênis Fila Ride Unissex Original ,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,329.99,234.29
OLYMPIKUS,Olympikus Zex Masculino Adultos,4.7,113,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,229.99,182.99
NEW BALANCE,Tênis New Balance Fresh Foam Garoe Masculino Mtgarorr,5.0,4,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,749.44,74.94
MIZUNO,Tênis Mizuno Wave Mirai 6 - Masculino Original,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,531.14,499.39
PUMA,Tênis De Corrida Magnify Nitro 2 Masculino Puma Tênis De Cor,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,999.9,99.99
